Resume_ID,Name,Skills,Experience_Years,Education,Certifications,Job_Role,Recruiter_Decision,Salary_Expectation_Dollars,Projects_Count,AI_Score,Python_Skill,SQL_Skill,ML_Skill,PowerBI_Skill,Excel_Skill,TensorFlow_Skill,NLP_Skill,Pytorch_Skill,Experience_Level
27,Christopher Ayers,"ethical hacking, cybersecurity",3,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,0,76203,2,60,0,0,0,0,0,0,0,0,Junior
28,Shaun Gomez,"pytorch, nlp",1,M.Tech,None,AI Researcher,0,41731,5,45,0,0,0,0,0,0,1,1,Fresher
29,Claudia Harris,"nlp, pytorch, python",10,B.Tech,Google ML,AI Researcher,1,119307,2,100,1,0,0,0,0,0,1,1,Senior
30,Steven Thomas,"sql, python",10,B.Tech,AWS Certified,Data Scientist,1,59926,4,100,1,1,0,0,0,0,0,0,Senior
31,Abigail Watts,"python, sql",4,PhD,None,Data Scientist,1,84679,10,100,1,1,0,0,0,0,0,0,Mid
32,Logan Mcclure,"ethical hacking, networking, linux",1,B.Sc,None,Cybersecurity Analyst,1,58606,10,75,0,0,0,0,0,0,0,0,Fresher
33,Elizabeth Serrano,"deep learning, machine learning, sql, python",8,M.Tech,AWS Certified,Data Scientist,1,51283,4,100,1,1,1,0,0,0,0,0,Senior
34,Maria Glover,"tensorflow, python, pytorch",9,B.Sc,Deep Learning Specialization,AI Researcher,1,99521,4,100,1,0,0,0,0,1,0,1,Senior
35,Sandra Juarez,"networking, linux, ethical hacking",0,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,1,47001,10,75,0,0,0,0,0,0,0,0,Fresher
36,Bradley Cruz,"nlp, pytorch",7,PhD,AWS Certified,AI Researcher,1,92104,6,100,0,0,0,0,0,0,1,1,Senior
37,Darrell Wilkinson,"python, nlp",7,M.Tech,Google ML,AI Researcher,1,80936,3,100,1,0,0,0,0,0,1,0,Senior
38,Jason Flores,"c++, sql, java",5,B.Tech,Google ML,Software Engineer,1,97505,7,100,0,1,0,0,0,0,0,0,Mid
39,Denise Harper,"linux, cybersecurity",7,PhD,None,Cybersecurity Analyst,1,106469,0,80,0,0,0,0,0,0,0,0,Senior
40,Kim Blake,"sql, python",1,MBA,AWS Certified,Data Scientist,1,52364,8,70,1,1,0,0,0,0,0,0,Fresher
41,Lindsey Jackson,"c++, react",10,MBA,AWS Certified,Software Engineer,1,101108,9,100,0,0,0,0,0,0,0,0,Senior
42,Frances Salazar,"networking, linux",1,M.Tech,AWS Certified,Cybersecurity Analyst,1,51200,10,80,0,0,0,0,0,0,0,0,Fresher
43,Justin Ross,"nlp, tensorflow, python",3,M.Tech,None,AI Researcher,1,66403,10,95,1,0,0,0,0,1,1,0,Junior
44,Denise Ramirez,"machine learning, python",1,MBA,Deep Learning Specialization,Data Scientist,1,50397,8,70,1,0,1,0,0,0,0,0,Fresher
45,Tanya West,"sql, python, machine learning",4,M.Tech,AWS Certified,Data Scientist,1,95486,6,95,1,1,1,0,0,0,0,0,Mid
46,Ryan Peters,"sql, java",5,B.Sc,AWS Certified,Software Engineer,1,72756,4,90,0,1,0,0,0,0,0,0,Mid
47,Terry Burns,"sql, java, c++, react",4,MBA,AWS Certified,Software Engineer,1,50602,9,100,0,1,0,0,0,0,0,0,Mid
48,Christopher Stevenson,"python, machine learning",8,PhD,Google ML,Data Scientist,1,103477,9,100,1,0,1,0,0,0,0,0,Senior
49,David Nash,"react, sql, java",1,MBA,Deep Learning Specialization,Software Engineer,1,46437,9,80,0,1,0,0,0,0,0,0,Fresher
50,Christopher Nicholson,"pytorch, python",5,B.Tech,Deep Learning Specialization,AI Researcher,1,89338,1,75,1,0,0,0,0,0,0,1,Mid
51,Kenneth Skinner,"python, nlp, tensorflow, pytorch",5,PhD,None,AI Researcher,1,45488,9,100,1,0,0,0,0,1,1,1,Mid
52,Dalton Smith,"ethical hacking, cybersecurity, linux",9,M.Tech,None,Cybersecurity Analyst,1,55058,3,100,0,0,0,0,0,0,0,0,Senior
53,James Bailey,"sql, deep learning, machine learning",1,MBA,None,Data Scientist,0,54006,4,45,0,1,1,0,0,0,0,0,Fresher
54,William Hill,"python, sql, machine learning",9,B.Sc,Google ML,Data Scientist,1,82004,2,100,1,1,1,0,0,0,0,0,Senior
55,James Jones,"python, sql, machine learning",0,B.Tech,AWS Certified,Data Scientist,0,112663,7,60,1,1,1,0,0,0,0,0,Fresher
56,Danielle Drake,"cybersecurity, networking, ethical hacking",1,B.Sc,Google ML,Cybersecurity Analyst,0,56827,4,55,0,0,0,0,0,0,0,0,Fresher
57,Rachel Wheeler,"c++, java, sql, react",3,B.Sc,Google ML,Software Engineer,1,49367,3,75,0,1,0,0,0,0,0,0,Junior
58,April Flores,"networking, cybersecurity, ethical hacking, linux",1,B.Sc,AWS Certified,Cybersecurity Analyst,0,86274,3,55,0,0,0,0,0,0,0,0,Fresher
59,Ruth Oconnell,"tensorflow, pytorch",2,B.Sc,None,AI Researcher,0,62312,1,35,0,0,0,0,0,1,0,1,Junior
60,Sarah Kane,"java, react",6,PhD,Google ML,Software Engineer,1,80278,4,100,0,0,0,0,0,0,0,0,Mid
61,Rebecca Wagner,"python, pytorch",0,B.Tech,Deep Learning Specialization,AI Researcher,1,71804,10,70,1,0,0,0,0,0,0,1,Fresher
62,Laura Howell,"sql, deep learning, machine learning, python",8,B.Sc,None,Data Scientist,1,72780,9,100,1,1,1,0,0,0,0,0,Senior
63,Kevin Miller,"machine learning, deep learning, python",9,M.Tech,Google ML,Data Scientist,1,84443,3,100,1,0,1,0,0,0,0,0,Senior
64,Joanna Foster,"c++, react, java, sql",9,M.Tech,None,Software Engineer,1,99057,8,100,0,1,0,0,0,0,0,0,Senior
65,Steven Bell II,"deep learning, python, machine learning, sql",10,MBA,Deep Learning Specialization,Data Scientist,1,63516,2,100,1,1,1,0,0,0,0,0,Senior
66,Cynthia Simmons,"java, react, c++",1,PhD,None,Software Engineer,0,62647,3,40,0,0,0,0,0,0,0,0,Fresher
67,Brittney Mccormick,"java, c++, react, sql",8,B.Sc,None,Software Engineer,1,89042,1,100,0,1,0,0,0,0,0,0,Senior
68,David Mitchell,"pytorch, python, tensorflow, nlp",9,M.Tech,Google ML,AI Researcher,1,47919,4,100,1,0,0,0,0,1,1,1,Senior
69,Christopher Reed,"linux, networking, ethical hacking, cybersecurity",9,M.Tech,Google ML,Cybersecurity Analyst,1,81596,3,100,0,0,0,0,0,0,0,0,Senior
70,Jonathan Fowler,"sql, python, machine learning, deep learning",1,B.Tech,AWS Certified,Data Scientist,0,43647,1,45,1,1,1,0,0,0,0,0,Fresher
71,Taylor Wright,"pytorch, tensorflow, nlp",8,PhD,Deep Learning Specialization,AI Researcher,1,50670,0,100,0,0,0,0,0,1,1,1,Senior
72,Curtis Townsend,"ethical hacking, networking, linux",0,MBA,Google ML,Cybersecurity Analyst,0,60440,7,60,0,0,0,0,0,0,0,0,Fresher
73,Scott Kidd,"python, sql, machine learning, deep learning",0,M.Tech,Deep Learning Specialization,Data Scientist,0,69800,6,60,1,1,1,0,0,0,0,0,Fresher
74,Donald Duffy,"java, sql",5,MBA,AWS Certified,Software Engineer,1,40914,6,100,0,1,0,0,0,0,0,0,Mid
75,Michael Chapman,"tensorflow, nlp",9,B.Sc,Deep Learning Specialization,AI Researcher,1,111697,4,100,0,0,0,0,0,1,1,0,Senior
76,Carolyn James,"java, react, sql, c++",4,B.Tech,Deep Learning Specialization,Software Engineer,1,88155,8,100,0,1,0,0,0,0,0,0,Mid
77,Timothy Kirby,"python, machine learning",0,M.Tech,Deep Learning Specialization,Data Scientist,0,61332,0,20,1,0,1,0,0,0,0,0,Fresher
78,Michael Vasquez,"cybersecurity, ethical hacking, linux, networking",7,PhD,None,Cybersecurity Analyst,1,62406,1,95,0,0,0,0,0,0,0,0,Senior
79,Brooke Charles,"tensorflow, python",1,MBA,None,AI Researcher,0,75420,6,50,1,0,0,0,0,1,0,0,Fresher
80,Wesley Rodriguez,"deep learning, python, machine learning, sql",6,B.Sc,Deep Learning Specialization,Data Scientist,1,82300,4,100,1,1,1,0,0,0,0,0,Mid
81,Jamie Rose,"nlp, tensorflow, pytorch",7,MBA,None,AI Researcher,1,88358,4,100,0,0,0,0,0,1,1,1,Senior
82,Melissa Clark,"react, c++",1,PhD,Deep Learning Specialization,Software Engineer,1,107085,10,80,0,0,0,0,0,0,0,0,Fresher
83,Ryan Moore,"c++, java",9,M.Tech,Deep Learning Specialization,Software Engineer,1,51284,4,100,0,0,0,0,0,0,0,0,Senior
84,Shawn Richardson,"python, nlp, tensorflow",10,B.Tech,None,AI Researcher,1,62710,2,100,1,0,0,0,0,1,1,0,Senior
85,Lisa Navarro,"java, sql, c++",0,B.Sc,AWS Certified,Software Engineer,0,52290,2,35,0,1,0,0,0,0,0,0,Fresher
86,Renee Patterson MD,"java, react, c++",8,M.Tech,None,Software Engineer,1,87272,2,100,0,0,0,0,0,0,0,0,Senior
87,Heather Bauer,"sql, deep learning, python, machine learning",6,M.Tech,Deep Learning Specialization,Data Scientist,1,72143,10,100,1,1,1,0,0,0,0,0,Mid
88,Derek Smith,"python, pytorch",7,B.Sc,None,AI Researcher,1,98548,7,100,1,0,0,0,0,0,0,1,Senior
89,Jose Mclaughlin,"react, sql, java",5,PhD,Google ML,Software Engineer,1,102333,10,100,0,1,0,0,0,0,0,0,Mid
90,Christina Johnson,"linux, ethical hacking, cybersecurity, networking",10,M.Tech,None,Cybersecurity Analyst,1,60343,8,100,0,0,0,0,0,0,0,0,Senior
91,David Santos,"nlp, tensorflow",4,MBA,Google ML,AI Researcher,1,49331,7,95,0,0,0,0,0,1,1,0,Mid
92,Melissa Salinas,"pytorch, tensorflow, python",4,MBA,Google ML,AI Researcher,1,67536,6,95,1,0,0,0,0,1,0,1,Mid
93,Cody Pace,"tensorflow, nlp, pytorch",5,B.Sc,AWS Certified,AI Researcher,1,88653,0,75,0,0,0,0,0,1,1,1,Mid
94,Juan Jimenez,"nlp, pytorch",0,B.Sc,Deep Learning Specialization,AI Researcher,1,87556,10,70,0,0,0,0,0,0,1,1,Fresher
95,Madison Dunn,"java, sql, c++",9,B.Tech,Google ML,Software Engineer,1,113365,8,100,0,1,0,0,0,0,0,0,Senior
96,Stephen Watkins,"tensorflow, pytorch, python, nlp",1,B.Sc,AWS Certified,AI Researcher,0,97235,4,60,1,0,0,0,0,1,1,1,Fresher
97,Dawn Tucker,"tensorflow, nlp, pytorch, python",4,PhD,Deep Learning Specialization,AI Researcher,1,89633,2,80,1,0,0,0,0,1,1,1,Mid
98,Michelle Benton,"tensorflow, pytorch, nlp, python",6,B.Tech,AWS Certified,AI Researcher,1,109750,9,100,1,0,0,0,0,1,1,1,Mid
99,Shannon Patel,"python, deep learning",6,PhD,Google ML,Data Scientist,1,63260,8,100,1,0,0,0,0,0,0,0,Mid
100,Sandra Perkins,"sql, java, react",6,B.Sc,Google ML,Software Engineer,1,67745,3,100,0,1,0,0,0,0,0,0,Mid
101,Sheryl Freeman,"linux, cybersecurity",1,M.Tech,Google ML,Cybersecurity Analyst,0,85755,3,45,0,0,0,0,0,0,0,0,Fresher
102,Elaine Ryan,"ethical hacking, cybersecurity",8,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,1,58775,3,100,0,0,0,0,0,0,0,0,Senior
103,Jonathan Hernandez,"ethical hacking, networking",2,MBA,Deep Learning Specialization,Cybersecurity Analyst,0,49346,3,55,0,0,0,0,0,0,0,0,Junior
104,Emily Williamson,"ethical hacking, networking, linux",8,PhD,None,Cybersecurity Analyst,1,97521,7,100,0,0,0,0,0,0,0,0,Senior
105,Miguel Dunn,"java, sql",5,B.Tech,Google ML,Software Engineer,1,81801,1,75,0,1,0,0,0,0,0,0,Mid
106,Natasha Orr,"deep learning, machine learning, sql",7,B.Tech,AWS Certified,Data Scientist,1,118152,6,100,0,1,1,0,0,0,0,0,Senior
107,David Richardson,"nlp, python, tensorflow",9,B.Tech,AWS Certified,AI Researcher,1,105695,0,100,1,0,0,0,0,1,1,0,Senior
108,Michael Lewis,"python, deep learning, machine learning",2,B.Tech,Deep Learning Specialization,Data Scientist,0,98024,2,55,1,0,1,0,0,0,0,0,Junior
109,Michael Jones,"python, machine learning, sql",4,B.Tech,None,Data Scientist,1,85884,6,85,1,1,1,0,0,0,0,0,Mid
110,Nicole Hunt,"ethical hacking, linux, networking, cybersecurity",7,MBA,None,Cybersecurity Analyst,1,107237,3,100,0,0,0,0,0,0,0,0,Senior
111,Austin Hunter,"java, react",9,B.Tech,Google ML,Software Engineer,1,117897,0,100,0,0,0,0,0,0,0,0,Senior
112,Richard Jones MD,"machine learning, sql, deep learning",5,B.Tech,Deep Learning Specialization,Data Scientist,1,59033,4,95,0,1,1,0,0,0,0,0,Mid
113,Sydney Nelson,"sql, python, machine learning, deep learning",3,MBA,Deep Learning Specialization,Data Scientist,1,102054,1,65,1,1,1,0,0,0,0,0,Junior
114,Paula Mills,"pytorch, tensorflow",0,B.Sc,Deep Learning Specialization,AI Researcher,0,98413,3,35,0,0,0,0,0,1,0,1,Fresher
115,Meagan King,"c++, java",2,MBA,Deep Learning Specialization,Software Engineer,0,85561,2,50,0,0,0,0,0,0,0,0,Junior
116,Tina Smith,"nlp, tensorflow, pytorch",9,PhD,None,AI Researcher,1,88498,9,100,0,0,0,0,0,1,1,1,Senior
117,Mr. David Boyle,"networking, cybersecurity, linux, ethical hacking",10,B.Tech,None,Cybersecurity Analyst,1,101100,10,100,0,0,0,0,0,0,0,0,Senior
118,Mariah Randolph,"react, c++, java",5,PhD,AWS Certified,Software Engineer,1,72099,10,100,0,0,0,0,0,0,0,0,Mid
119,Sandra Freeman,"react, java, sql",4,MBA,Google ML,Software Engineer,1,99599,9,100,0,1,0,0,0,0,0,0,Mid
120,Joseph Carroll,"react, c++, java, sql",5,MBA,Deep Learning Specialization,Software Engineer,1,68881,8,100,0,1,0,0,0,0,0,0,Mid
121,Cynthia Espinoza,"java, react",6,B.Sc,Google ML,Software Engineer,1,62463,0,80,0,0,0,0,0,0,0,0,Mid
122,Robert Carey,"python, tensorflow, pytorch, nlp",4,B.Sc,AWS Certified,AI Researcher,1,47581,2,80,1,0,0,0,0,1,1,1,Mid
123,Stephen Mcdonald,"linux, networking, cybersecurity, ethical hacking",7,PhD,None,Cybersecurity Analyst,1,91604,3,100,0,0,0,0,0,0,0,0,Senior
124,Haley Gonzalez,"sql, java",1,PhD,AWS Certified,Software Engineer,1,74663,9,75,0,1,0,0,0,0,0,0,Fresher
125,Jaime Wilson,"java, c++, react",6,MBA,AWS Certified,Software Engineer,1,64025,10,100,0,0,0,0,0,0,0,0,Mid
126,Taylor Cunningham,"sql, python",9,B.Sc,Deep Learning Specialization,Data Scientist,1,66133,2,100,1,1,0,0,0,0,0,0,Senior
127,Sophia Bradley,"machine learning, python, deep learning, sql",5,M.Tech,Deep Learning Specialization,Data Scientist,1,95222,5,100,1,1,1,0,0,0,0,0,Mid
128,Gary Hanson,"pytorch, python",3,MBA,Deep Learning Specialization,AI Researcher,0,48726,0,50,1,0,0,0,0,0,0,1,Junior
129,Michael Ingram,"linux, networking, ethical hacking, cybersecurity",8,B.Sc,AWS Certified,Cybersecurity Analyst,1,111242,5,100,0,0,0,0,0,0,0,0,Senior
130,Shannon Alvarez,"python, nlp, pytorch",3,B.Sc,Deep Learning Specialization,AI Researcher,0,91770,0,55,1,0,0,0,0,0,1,1,Junior
131,Jonathan Howard,"nlp, python, pytorch, tensorflow",1,B.Sc,AWS Certified,AI Researcher,0,113470,4,60,1,0,0,0,0,1,1,1,Fresher
132,Rebecca Reynolds,"java, c++, sql",0,B.Sc,None,Software Engineer,0,103202,3,30,0,1,0,0,0,0,0,0,Fresher
133,Eric Gregory,"ethical hacking, networking, linux, cybersecurity",8,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,1,114147,4,100,0,0,0,0,0,0,0,0,Senior
134,Brad Stephens,"c++, java, react, sql",1,PhD,None,Software Engineer,0,116556,0,30,0,1,0,0,0,0,0,0,Fresher
135,Paul Castro,"tensorflow, nlp, python, pytorch",6,B.Sc,Deep Learning Specialization,AI Researcher,1,60828,3,100,1,0,0,0,0,1,1,1,Mid
136,Elizabeth Williamson,"networking, cybersecurity",7,B.Sc,None,Cybersecurity Analyst,1,42894,0,80,0,0,0,0,0,0,0,0,Senior
137,Mason Jones,"linux, cybersecurity, ethical hacking",4,M.Tech,None,Cybersecurity Analyst,1,114988,5,80,0,0,0,0,0,0,0,0,Mid
138,Jean Clark,"machine learning, python, sql",10,M.Tech,Google ML,Data Scientist,1,88678,3,100,1,1,1,0,0,0,0,0,Senior
139,Tyler Henderson,"deep learning, sql, python, machine learning",4,M.Tech,None,Data Scientist,1,60868,7,95,1,1,1,0,0,0,0,0,Mid
140,Jamie Robertson,"ethical hacking, cybersecurity, networking, linux",3,MBA,Google ML,Cybersecurity Analyst,1,93303,1,65,0,0,0,0,0,0,0,0,Junior
141,Ronald Thomas,"deep learning, python, sql",3,B.Sc,Google ML,Data Scientist,1,64716,2,65,1,1,0,0,0,0,0,0,Junior
142,Ashley Peters,"cybersecurity, ethical hacking, linux",9,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,1,59885,2,100,0,0,0,0,0,0,0,0,Senior
143,Thomas Davis,"sql, machine learning, deep learning, python",5,B.Tech,None,Data Scientist,1,89620,3,85,1,1,1,0,0,0,0,0,Mid
144,David Krause,"networking, linux, cybersecurity, ethical hacking",10,MBA,Deep Learning Specialization,Cybersecurity Analyst,1,83474,0,100,0,0,0,0,0,0,0,0,Senior
145,Tabitha Clark,"tensorflow, pytorch, python",5,B.Tech,Google ML,AI Researcher,1,79333,5,100,1,0,0,0,0,1,0,1,Mid
146,Catherine Garcia,"tensorflow, pytorch, nlp",10,M.Tech,AWS Certified,AI Researcher,1,58221,8,100,0,0,0,0,0,1,1,1,Senior
147,Dawn Brown,"sql, python, deep learning, machine learning",10,PhD,None,Data Scientist,1,119703,1,100,1,1,1,0,0,0,0,0,Senior
148,Joshua Hughes,"python, machine learning",8,PhD,AWS Certified,Data Scientist,1,95978,4,100,1,0,1,0,0,0,0,0,Senior
149,Laurie Cervantes,"tensorflow, nlp, pytorch",6,B.Tech,Deep Learning Specialization,AI Researcher,1,63269,0,85,0,0,0,0,0,1,1,1,Mid
150,Shannon Johnson,"python, machine learning",9,B.Sc,Google ML,Data Scientist,1,83152,2,100,1,0,1,0,0,0,0,0,Senior
151,Karen Peters,"ethical hacking, networking, linux",3,B.Tech,Google ML,Cybersecurity Analyst,1,118508,7,90,0,0,0,0,0,0,0,0,Junior
152,Jacqueline Lee,"sql, react, java",6,PhD,AWS Certified,Software Engineer,1,99537,10,100,0,1,0,0,0,0,0,0,Mid
153,Dale Williams,"python, machine learning, sql, deep learning",7,PhD,AWS Certified,Data Scientist,1,62092,2,100,1,1,1,0,0,0,0,0,Senior
154,Victoria Kennedy,"python, deep learning, sql, machine learning",7,B.Tech,Google ML,Data Scientist,1,65981,0,100,1,1,1,0,0,0,0,0,Senior
155,Brandon Ruiz,"ethical hacking, linux, cybersecurity",5,MBA,Deep Learning Specialization,Cybersecurity Analyst,1,53855,8,100,0,0,0,0,0,0,0,0,Mid
156,Anthony Neal,"cybersecurity, ethical hacking, networking, linux",6,M.Tech,None,Cybersecurity Analyst,1,98876,2,90,0,0,0,0,0,0,0,0,Mid
157,Paul Wallace,"linux, ethical hacking, networking, cybersecurity",6,B.Sc,AWS Certified,Cybersecurity Analyst,1,59082,5,100,0,0,0,0,0,0,0,0,Mid
158,Renee Odonnell DDS,"pytorch, tensorflow, python",2,PhD,None,AI Researcher,0,85955,1,40,1,0,0,0,0,1,0,1,Junior
159,Christopher White,"ethical hacking, linux",6,B.Sc,AWS Certified,Cybersecurity Analyst,1,113676,9,100,0,0,0,0,0,0,0,0,Mid
160,Margaret Holmes,"cybersecurity, linux",2,MBA,Deep Learning Specialization,Cybersecurity Analyst,0,118103,1,45,0,0,0,0,0,0,0,0,Junior
161,Michael Le,"sql, machine learning",3,PhD,Deep Learning Specialization,Data Scientist,1,112466,9,95,0,1,1,0,0,0,0,0,Junior
162,Patricia Scott,"sql, machine learning",5,M.Tech,AWS Certified,Data Scientist,1,99076,8,100,0,1,1,0,0,0,0,0,Mid
163,Katie Wall,"linux, cybersecurity",5,M.Tech,None,Cybersecurity Analyst,1,115234,10,100,0,0,0,0,0,0,0,0,Mid
164,Steven Johnson,"tensorflow, nlp, python",1,M.Tech,None,AI Researcher,0,76442,2,35,1,0,0,0,0,1,1,0,Fresher
165,Rhonda Green,"networking, cybersecurity, linux, ethical hacking",7,M.Tech,Google ML,Cybersecurity Analyst,1,117704,10,100,0,0,0,0,0,0,0,0,Senior
166,Christopher Fletcher,"deep learning, sql",2,PhD,None,Data Scientist,0,89120,3,45,0,1,0,0,0,0,0,0,Junior
167,Joel Hansen,"pytorch, nlp, python",3,M.Tech,AWS Certified,AI Researcher,1,76100,6,85,1,0,0,0,0,0,1,1,Junior
168,Katherine Cabrera,"networking, cybersecurity, ethical hacking",2,B.Sc,Google ML,Cybersecurity Analyst,1,63016,7,80,0,0,0,0,0,0,0,0,Junior
169,Shawn Schmidt,"java, c++, react, sql",9,B.Sc,Deep Learning Specialization,Software Engineer,1,68144,2,100,0,1,0,0,0,0,0,0,Senior
170,Ruth Prince,"python, machine learning",7,M.Tech,None,Data Scientist,1,98540,0,80,1,0,1,0,0,0,0,0,Senior
171,Scott Gray,"networking, ethical hacking, cybersecurity",8,MBA,None,Cybersecurity Analyst,1,44474,1,100,0,0,0,0,0,0,0,0,Senior
172,Lisa Lawson,"deep learning, sql, python",3,B.Sc,AWS Certified,Data Scientist,1,50781,6,85,1,1,0,0,0,0,0,0,Junior
173,Brenda Crawford,"react, sql, c++",3,B.Tech,Google ML,Software Engineer,1,100722,5,80,0,1,0,0,0,0,0,0,Junior
174,Phillip Shaw,"sql, python",9,PhD,Deep Learning Specialization,Data Scientist,1,69101,8,100,1,1,0,0,0,0,0,0,Senior
175,Lisa Jones,"machine learning, deep learning, python, sql",6,MBA,None,Data Scientist,1,76085,4,100,1,1,1,0,0,0,0,0,Mid
176,Dillon Hoffman,"sql, machine learning, python, deep learning",9,B.Sc,Google ML,Data Scientist,1,57223,2,100,1,1,1,0,0,0,0,0,Senior
177,Eric Mendez,"c++, react",1,MBA,None,Software Engineer,0,55836,3,35,0,0,0,0,0,0,0,0,Fresher
178,Terry Kaufman,"sql, deep learning, python, machine learning",8,B.Sc,Google ML,Data Scientist,1,118651,5,100,1,1,1,0,0,0,0,0,Senior
179,Andrea Clark,"pytorch, tensorflow",3,MBA,None,AI Researcher,1,81415,7,75,0,0,0,0,0,1,0,1,Junior
180,Erin Maynard,"networking, cybersecurity, ethical hacking",8,MBA,None,Cybersecurity Analyst,1,65748,4,100,0,0,0,0,0,0,0,0,Senior
181,Jared Gonzalez,"java, react",6,PhD,Deep Learning Specialization,Software Engineer,1,54170,7,100,0,0,0,0,0,0,0,0,Mid
182,Stephen Nichols,"machine learning, deep learning, sql, python",1,PhD,None,Data Scientist,1,60495,7,65,1,1,1,0,0,0,0,0,Fresher
183,Caleb Tucker,"pytorch, nlp",0,B.Sc,None,AI Researcher,0,42924,7,45,0,0,0,0,0,0,1,1,Fresher
184,Caitlin Turner,"sql, deep learning, python",5,PhD,None,Data Scientist,1,89654,3,80,1,1,0,0,0,0,0,0,Mid
